Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change,,,,,
,,,,,,,,,,,,,,,SUNPHARMA,,#N/A
,,,,,,,,,,,,,,,JPASSOCIAT,,#N/A
,,,,,,,,,,,,,,,GODREJIND,,#N/A
,,,,,,,,,,,,,,,PAGEIND,,#N/A
,,,,,,,,,,,,,,,HINDALCO,,#N/A
,,,,,,,,,,,,,,,ALBK,,#N/A
,,,,,,,,,,,,,,,CONCOR,,#N/A
,,,,,,,,,,,,,,,HEROMOTOCO,,#N/A
,,,,,,,,,,,,,,,TV18BRDCST,,#N/A
,,,,,,,,,,,,,,,RAYMOND,,#N/A
,,,,,,,,,,,,,,,REPCOHOME,,#N/A
,,,,,,,,,,,,,,,SBIN,,#N/A
,,,,,,,,,,,,,,,HCC,,#N/A
,,,,,,,,,,,,,,,PVR,,#N/A
,,,,,,,,,,,,,,,DCBBANK,,#N/A
,,,,,,,,,,,,,,,RCOM,,#N/A
,,,,,,,,,,,,,,,CHENNPETRO,,#N/A
,,,,,,,,,,,,,,,AJANTPHARM,,#N/A
,,,,,,,,,,,,,,,PETRONET,,#N/A
,,,,,,,,,,,,,,,APOLLOTYRE,,#N/A
,,,,,,,,,,,,,,,TATAELXSI,,#N/A
,,,,,,,,,,,,,,,DHFL,,#N/A
,,,,,,,,,,,,,,,WOCKPHARMA,,#N/A
,,,,,,,,,,,,,,,ANDHRABANK,,#N/A
,,,,,,,,,,,,,,,AUROPHARMA,,#N/A
,,,,,,,,,,,,,,,CEATLTD,,#N/A
,,,,,,,,,,,,,,,CUMMINSIND,,#N/A
,,,,,,,,,,,,,,,IFCI,,#N/A
,,,,,,,,,,,,,,,BAJAJFINSV,,#N/A
,,,,,,,,,,,,,,,VOLTAS,,#N/A
,,,,,,,,,,,,,,,IGL,,#N/A
,,,,,,,,,,,,,,,L&TFH,,#N/A
,,,,,,,,,,,,,,,GRANULES,,#N/A
,,,,,,,,,,,,,,,BAJAJ-AUTO,,#N/A
,,,,,,,,,,,,,,,CANBK,,#N/A
,,,,,,,,,,,,,,,CGPOWER,,#N/A
,,,,,,,,,,,,,,,JUSTDIAL,,#N/A
,,,,,,,,,,,,,,,SUNTV,,#N/A
,,,,,,,,,,,,,,,GAIL,,#N/A
,,,,,,,,,,,,,,,INDIACEM,,#N/A
,,,,,,,,,,,,,,,UBL,,#N/A
,,,,,,,,,,,,,,,INFIBEAM,,#N/A
,,,,,,,,,,,,,,,AMARAJABAT,,#N/A
,,,,,,,,,,,,,,,MCDOWELL-N,,#N/A
,,,,,,,,,,,,,,,UJJIVAN,,#N/A
,,,,,,,,,,,,,,,ENGINERSIN,,#N/A
,,,,,,,,,,,,,,,VEDL,,#N/A
,,,,,,,,,,,,,,,MANAPPURAM,,#N/A
,,,,,,,,,,,,,,,ADANIPORTS,,#N/A
,,,,,,,,,,,,,,,CANFINHOME,,#N/A
,,,,,,,,,,,,,,,PNB,,#N/A
,,,,,,,,,,,,,,,RELCAPITAL,,#N/A
,,,,,,,,,,,,,,,MRF,,#N/A
,,,,,,,,,,,,,,,IRB,,#N/A
,,,,,,,,,,,,,,,UNIONBANK,,#N/A
,,,,,,,,,,,,,,,ADANIPOWER,,#N/A
,,,,,,,,,,,,,,,SOUTHBANK,,#N/A
,,,,,,,,,,,,,,,IBULHSGFIN,,#N/A
,,,,,,,,,,,,,,,JETAIRWAYS,,#N/A
,,,,,,,,,,,,,,,JINDALSTEL,,#N/A
,,,,,,,,,,,,,,,ADANIENT,,#N/A
,,,,,,,,,,,,,,,TECHM,,#N/A
,,,,,,,,,,,,,,,DLF,,#N/A
,,,,,,,,,,,,,,,ESCORTS,,#N/A
,,,,,,,,,,,,,,,GMRINFRA,,#N/A
,,,,,,,,,,,,,,,TORNTPOWER,,#N/A
,,,,,,,,,,,,,,,BANKINDIA,,#N/A
,,,,,,,,,,,,,,,EQUITAS,,#N/A
,,,,,,,,,,,,,,,ICIL,,#N/A
,,,,,,,,,,,,,,,HDIL,,#N/A
,,,,,,,,,,,,,,,TATAPOWER,,#N/A
,,,,,,,,,,,,,,,KPIT,,#N/A
,,,,,,,,,,,,,,,SYNDIBANK,,#N/A
