Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"INDIANB","335.00","337.55","326.20","326.20","-7.90","-2.36","12.92","42.77","427.40","253.05","9.32","0.35"
"ASHOKLEY","131.95","133.35","128.60","129.15","-3.15","-2.38","214.00","280.21","167.50","101.00","25.75","14.55"
"PCJEWELLER","91.00","92.90","88.70","89.80","-2.20","-2.39","119.72","108.48","600.65","65.30","-75.18","-1.97"
"CGPOWER","60.30","60.65","58.80","59.05","-1.45","-2.40","24.73","14.75","99.15","46.75","-26.46","-7.30"
"JETAIRWAYS","278.70","282.50","275.00","275.30","-6.80","-2.41","45.60","126.63","883.45","258.00","-52.07","-13.15"
"MINDTREE","1,041.00","1,042.00","1,008.00","1,013.60","-25.35","-2.44","12.77","130.06","1,101.20","439.05","119.92","4.45"
"L&TFH","184.60","186.25","179.10","180.05","-4.55","-2.46","68.08","123.89","213.85","140.55","3.87","0.64"
"EXIDEIND","303.40","304.70","292.20","293.80","-7.45","-2.47","32.28","96.06","304.70","192.40","47.75","8.65"
"JISLJALEQS","77.65","77.65","74.60","75.45","-1.95","-2.52","54.54","41.27","150.40","71.70","-20.41","-2.90"
"KPIT","295.50","297.50","287.05","287.90","-8.15","-2.75","13.29","38.93","309.95","110.30","153.21","-1.27"
"UNIONBANK","88.00","89.20","86.15","86.30","-2.45","-2.76","59.81","52.29","196.05","73.90","-35.69","6.22"
"TITAN","912.40","915.90","882.50","885.40","-26.50","-2.91","32.18","287.69","999.70","563.65","45.74","2.76"
"CANFINHOME","326.95","327.85","317.00","319.00","-11.15","-3.38","8.37","26.92","589.89","308.40","-42.73","-7.62"
"IFCI","16.85","16.95","16.10","16.35","-0.60","-3.54","80.49","13.26","34.60","14.45","-29.37","0.31"
"SUNTV","800.00","800.00","766.15","766.90","-29.25","-3.67","26.94","209.28","1,097.80","691.50","7.31","-2.63"
"YESBANK","387.00","388.70","372.85","374.05","-14.55","-3.74","163.01","617.55","404.00","285.00","8.53","-2.68"
"UBL","1,452.00","1,462.00","1,380.00","1,387.90","-56.95","-3.94","13.42","191.50","1,462.00","775.25","72.44","25.36"
"JPASSOCIAT","13.00","13.10","11.75","11.85","-1.05","-8.14","835.28","102.74","27.30","11.75","-44.88","-24.28"
"HEXAWARE","452.00","452.20","401.10","425.40","-71.30","-14.35","661.05","2,881.86","557.70","259.00","58.14","-14.25"

