Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16082018,493944695,0001764
Trade Date <16-AUG-2018>,Settlement Type <N>,Settlement No <2018157>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1443,SKIL,EQ,13332,11462,85.97
20,1444,SKIPPER,EQ,858861,667973,77.77
20,1445,SKMEGGPROD,EQ,19753,11059,55.99
20,1446,SKML,SM,2000,2000,100.00
20,1447,SKSTEXTILE,SM,1000,1000,100.00
20,1448,SMARTLINK,EQ,1200,855,71.25
20,1449,SMLISUZU,EQ,19521,13304,68.15
20,1450,SMSLIFE,EQ,1746,1497,85.74
20,1451,SMSPHARMA,EQ,22312,9112,40.84
20,1452,SNOWMAN,EQ,291742,145947,50.03
20,1453,SOBHA,EQ,355465,164395,46.25
20,1454,SOFTTECH,SM,6400,4800,75.00
20,1455,SOLARA,EQ,6901,6901,100.00
20,1456,SOLARINDS,EQ,3798,2666,70.19
20,1457,SOMANYCERA,EQ,9269,6298,67.95
20,1458,SOMATEX,EQ,5031,3830,76.13
20,1459,SOMICONVEY,EQ,7225,5380,74.46
20,1460,SONAMCLOCK,SM,21000,21000,100.00
20,1461,SONATSOFTW,EQ,1709931,328918,19.24
20,1462,SORILINFRA,EQ,297655,72682,24.42
20,1463,SOTL,EQ,380,303,79.74
20,1464,SOUTHBANK,EQ,13507820,6421504,47.54
20,1465,SOUTHWEST,SM,3200,3200,100.00
20,1466,SPAL,EQ,3367,2024,60.11
20,1467,SPARC,EQ,823433,218419,26.53
20,1468,SPECIALITY,EQ,55406,40491,73.08
20,1469,SPENTEX,EQ,28705,23251,81.00
20,1470,SPIC,EQ,55866,33727,60.37
20,1471,SPICEMOBI,EQ,30771,9517,30.93
20,1472,SPLIL,EQ,1039,902,86.81
20,1473,SPMLINFRA,EQ,13023,8440,64.81
20,1474,SPTL,EQ,1026898,336851,32.80
20,1475,SQSBFSI,EQ,7368,6715,91.14
20,1476,SREEL,EQ,15735,8239,52.36
20,1477,SREIBNPNCD,ND,85,70,82.35
20,1478,SREIBNPNCD,NF,150,150,100.00
20,1479,SREIBNPNCD,NJ,60,60,100.00
20,1480,SREIBNPNCD,NL,150,150,100.00
20,1481,SREIBNPNCD,NP,28,28,100.00
20,1482,SREIBNPNCD,NR,898,449,50.00
20,1483,SREINFRA,EQ,4727965,1412321,29.87
20,1484,SREINFRA,NR,10,10,100.00
20,1485,SREINFRA,NZ,236,236,100.00
20,1486,SREINFRA,Y1,105,105,100.00
20,1487,SREINFRA,Y8,316,211,66.77
20,1488,SREINFRA,Y9,100,100,100.00
20,1489,SREINFRA,YC,20,10,50.00
20,1490,SRF,EQ,600215,61671,10.27
20,1491,SRHHYPOLTD,EQ,10363,6323,61.02
20,1492,SRIPIPES,EQ,51263,29105,56.78
20,1493,SRPL,SM,84000,64000,76.19
20,1494,SRSLTD,EQ,490921,267149,54.42
20,1495,SRTRANSFIN,EQ,1448819,653661,45.12
20,1496,SRTRANSFIN,Y3,110,100,90.91
20,1497,SRTRANSFIN,Y8,50,50,100.00
20,1498,SRTRANSFIN,YB,10,5,50.00
20,1499,SRTRANSFIN,YI,150,150,100.00
20,1500,SRTRANSFIN,YJ,145,145,100.00
20,1501,SRTRANSFIN,YK,500,500,100.00
20,1502,SRTRANSFIN,YL,290,290,100.00
20,1503,SSWL,EQ,9432,5202,55.15
20,1504,STAMPEDE,EQ,47852,47671,99.62
20,1505,STAN,DR,2949,1815,61.55
20,1506,STAR,EQ,2969345,504887,17.00
20,1507,STARCEMENT,EQ,25119,19191,76.40
20,1508,STARPAPER,EQ,511379,135735,26.54
20,1509,STCINDIA,EQ,85066,19535,22.96
20,1510,STEELCITY,SM,4000,2000,50.00
20,1511,STEELXIND,EQ,41473,31841,76.78
20,1512,STEL,EQ,6835,5875,85.95
20,1513,STERTOOLS,EQ,4734,3156,66.67
20,1514,STINDIA,EQ,540,300,55.56
20,1515,STRTECH,EQ,632222,177663,28.10
20,1516,SUBEX,EQ,5869222,4075921,69.45
20,1517,SUBROS,EQ,33540,21414,63.85
20,1518,SUDARSCHEM,EQ,88375,48688,55.09
20,1519,SUMMITSEC,EQ,2640,1802,68.26
20,1520,SUNCLAYLTD,EQ,2902,1873,64.54
20,1521,SUNDARAM,EQ,1223186,725075,59.28
20,1522,SUNDARMFIN,EQ,11713,7696,65.70
20,1523,SUNDARMHLD,EQ,14629,13442,91.89
20,1524,SUNDRMBRAK,EQ,2533,1785,70.47
20,1525,SUNDRMFAST,EQ,60647,31973,52.72
