RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1240,PVR,EQ,328880,115855,35.23
20,1241,QGOLDHALF,EQ,668,434,64.97
20,1242,QUESS,EQ,303710,262508,86.43
20,1243,QUICKHEAL,EQ,90657,41718,46.02
20,1244,RADAAN,EQ,700,700,100.00
20,1245,RADICO,EQ,286214,219592,76.72
20,1246,RADIOCITY,EQ,96594,52114,53.95
20,1247,RAJESHEXPO,EQ,606309,68352,11.27
20,1248,RAJSREESUG,EQ,3522,2725,77.37
20,1249,RAJTV,EQ,1241,684,55.12
20,1250,RALLIS,EQ,154243,74623,48.38
20,1251,RAMANEWS,EQ,734371,465228,63.35
20,1252,RAMASTEEL,EQ,14742,8242,55.91
20,1253,RAMCOCEM,EQ,438415,177927,40.58
20,1254,RAMCOIND,EQ,45302,20029,44.21
20,1255,RAMCOSYS,EQ,38653,21569,55.80
20,1256,RAMKY,EQ,245088,109886,44.84
20,1257,RANASUG,EQ,115408,81490,70.61
20,1258,RANEENGINE,EQ,2829,954,33.72
20,1259,RANEHOLDIN,EQ,2795,1698,60.75
20,1260,RATNAMANI,EQ,11135,10267,92.20
20,1261,RAYMOND,EQ,540608,117463,21.73
20,1262,RBL,EQ,63676,15817,24.84
20,1263,RBLBANK,EQ,3884090,1228602,31.63
20,1264,RCF,EQ,802917,291614,36.32
20,1265,RCOM,EQ,86334542,9146567,10.59
20,1266,RECLTD,EQ,3045054,838203,27.53
20,1267,RECLTD,N1,210,200,95.24
20,1268,RECLTD,N2,200,150,75.00
20,1269,RECLTD,N6,4001,2001,50.01
20,1270,RECLTD,N9,150,150,100.00
20,1271,RECLTD,NI,343,343,100.00
20,1272,REDINGTON,EQ,848287,534382,63.00
20,1273,REFEX,EQ,49143,35863,72.98
20,1274,RELAXO,EQ,78083,71347,91.37
20,1275,RELCAPITAL,EQ,3622665,573691,15.84
20,1276,RELCNX100,EQ,203,203,100.00
20,1277,RELCONS,EQ,4621,3521,76.20
20,1278,RELDIVOPP,EQ,586,542,92.49
20,1279,RELIABLE,SM,8000,2000,25.00
20,1280,RELIANCE,EQ,7279641,3175536,43.62
20,1281,RELIGARE,EQ,460281,286903,62.33
20,1282,RELINFRA,EQ,2312461,514827,22.26
20,1283,RELNV20,EQ,537,302,56.24
20,1284,REMSONSIND,EQ,4121,3201,77.68
20,1285,RENUKA,EQ,156794,96171,61.34
20,1286,REPCOHOME,EQ,105556,29467,27.92
20,1287,REPL,SM,12000,9000,75.00
20,1288,REPRO,EQ,4008,2415,60.25
20,1289,RESPONIND,EQ,7954,2348,29.52
20,1290,REVATHI,EQ,673,275,40.86
20,1291,RHFL,EQ,1616913,511320,31.62
20,1292,RHFL,N4,600,260,43.33
20,1293,RHFL,N6,307,307,100.00
20,1294,RICOAUTO,EQ,345446,152256,44.08
20,1295,RIIL,EQ,230597,43186,18.73
20,1296,RITES,EQ,3610530,555083,15.37
20,1297,RJL,EQ,10642,8387,78.81
20,1298,RKDL,EQ,7866,6101,77.56
20,1299,RKEC,SM,37000,25000,67.57
20,1300,RKFORGE,EQ,16113,10604,65.81
20,1301,RMCL,EQ,678342,247293,36.46
20,1302,RML,EQ,19302,6137,31.79
20,1303,RNAM,EQ,190568,109901,57.67
20,1304,RNAVAL,EQ,3065532,1409675,45.98
20,1305,ROHLTD,EQ,36922,17134,46.41
20,1306,ROLLT,EQ,49660,26870,54.11
20,1307,ROLTA,EQ,1695585,865113,51.02
20,1308,ROSSELLIND,EQ,8225,5582,67.87
20,1309,RPGLIFE,EQ,115854,34172,29.50
20,1310,RPOWER,EQ,5829927,1264492,21.69
20,1311,RPPINFRA,EQ,45539,39231,86.15
20,1312,RRSLGETF,EQ,100,100,100.00
20,1313,RSSOFTWARE,EQ,50202,22624,45.07
20,1314,RSWM,EQ,9544,6554,68.67
20,1315,RSYSTEMS,EQ,35123,32815,93.43
20,1316,RTNINFRA,EQ,887640,582455,65.62
20,1317,RTNPOWER,EQ,3255976,1852214,56.89
20,1318,RUBYMILLS,EQ,1777,971,54.64
20,1319,RUCHIRA,EQ,116364,41345,35.53
20,1320,RUCHISOYA,EQ,8452517,4504080,53.29
20,1321,RUPA,EQ,22029,10438,47.38
20,1322,RUSHIL,EQ,7179,2529,35.23
20,1323,SABEVENTS,EQ,150,150,100.00
20,1324,SADBHAV,EQ,657386,610434,92.86
20,1325,SADBHIN,EQ,13219,10342,78.24
20,1326,SAGCEM,EQ,1621,1072,66.13
20,1327,SAIL,EQ,8109774,1063751,13.12
20,1328,SAKHTISUG,EQ,40815,31996,78.39
20,1329,SAKSOFT,EQ,21394,8692,40.63
20,1330,SAKUMA,EQ,24736,13826,55.89
20,1331,SALASAR,EQ,10678,7994,74.86
20,1332,SALONA,EQ,1614,1264,78.31
20,1333,SALSTEEL,EQ,32307,28373,87.82
20,1334,SALZERELEC,EQ,19768,14752,74.63
20,1335,SAMBHAAV,EQ,24634,18235,74.02
20,1336,SANCO,EQ,167219,135265,80.89
20,1337,SANDESH,EQ,1347,1220,90.57
20,1338,SANDHAR,EQ,32769,16628,50.74
20,1339,SANGAMIND,EQ,19820,10133,51.13
20,1340,SANGHIIND,EQ,99986,62330,62.34
20,1341,SANGHVIFOR,EQ,11553,7243,62.69
20,1342,SANGHVIMOV,EQ,57764,47096,81.53
20,1343,SANGINITA,SM,68000,68000,100.00
20,1344,SANOFI,EQ,11226,7032,62.64
20,1345,SANWARIA,EQ,25309092,5084897,20.09
20,1346,SARDAEN,EQ,64422,31901,49.52
20,1347,SAREGAMA,EQ,19630,7498,38.20
20,1348,SARLAPOLY,EQ,41823,35493,84.86
20,1349,SARVESHWAR,SM,14400,12800,88.89
20,1350,SASKEN,EQ,13161,6339,48.17
20,1351,SASTASUNDR,EQ,3477,3473,99.88
20,1352,SATHAISPAT,EQ,10169,8928,87.80
20,1353,SATIN,EQ,83867,74057,88.30
20,1354,SBILIFE,EQ,118889,65548,55.13
20,1355,SBIN,EQ,14139592,3375979,23.88
20,1356,SBIN,N2,30,28,93.33
20,1357,SBIN,N5,128,125,97.66
20,1358,SCAPDVR,EQ,3271,3271,100.00
20,1359,SCHAEFFLER,EQ,2707,1785,65.94
20,1360,SCHAND,EQ,9244,7337,79.37
20,1361,SCHNEIDER,EQ,494511,119234,24.11
20,1362,SCI,EQ,260153,131596,50.58
20,1363,SDBL,EQ,203069,109187,53.77
20,1364,SEAMECLTD,EQ,1170,985,84.19
20,1365,SELAN,EQ,194404,56938,29.29
20,1366,SELMCL,EQ,44398,39098,88.06
20,1367,SEPOWER,EQ,36443,36039,98.89
20,1368,SEQUENT,EQ,6127947,2689451,43.89
20,1369,SERVOTECH,SM,4000,4000,100.00
20,1370,SESHAPAPER,EQ,5944,3876,65.21
20,1371,SETCO,EQ,1480035,630680,42.61
20,1372,SETF10GILT,EQ,306,90,29.41
20,1373,SETFGOLD,EQ,2838,2367,83.40
20,1374,SETFNIF50,EQ,12873,12585,97.76
20,1375,SETFNIFBK,EQ,79,57,72.15
20,1376,SETFNN50,EQ,2118,2015,95.14
20,1377,SFL,EQ,3288,1859,56.54
20,1378,SGBAUG24,GB,227,217,95.59
20,1379,SGBFEB24,GB,4,4,100.00
20,1380,SGBJUL25,GB,4,4,100.00
20,1381,SGBMAR25,GB,121,103,85.12
20,1382,SGBMAY25,GB,14,14,100.00
20,1383,SGBMAY26,GB,232,198,85.34
20,1384,SGBNOV23,GB,63,49,77.78
20,1385,SGBNOV24,GB,54,31,57.41
20,1386,SGBNOV258,GB,14,10,71.43
20,1387,SGBOCT25IV,GB,68,67,98.53
20,1388,SGBSEP24,GB,12,11,91.67
20,1389,SGL,EQ,9170,5537,60.38
20,1390,SHAHALLOYS,EQ,10391,7493,72.11
20,1391,SHAKTIPUMP,EQ,35192,12472,35.44
20,1392,SHALBY,EQ,31069,21179,68.17
20,1393,SHALPAINTS,EQ,18903,7364,38.96
20,1394,SHANKARA,EQ,28131,13327,47.37
20,1395,SHANTI,SM,6000,6000,100.00
20,1396,SHANTIGEAR,EQ,12795,10709,83.70
20,1397,SHARDACROP,EQ,29345,16803,57.26
20,1398,SHARDAMOTR,EQ,1829,1454,79.50
20,1399,SHARIABEES,EQ,2,1,50.00
20,1400,SHEMAROO,EQ,3660,2290,62.57
20,1401,SHILPAMED,EQ,72871,42715,58.62
20,1402,SHIRPUR-G,EQ,1866,992,53.16
20,1403,SHIVAMAUTO,EQ,104851,54200,51.69
20,1404,SHIVAMILLS,EQ,5867,2355,40.14
20,1405,SHIVATEX,EQ,4356,2750,63.13
20,1406,SHK,EQ,126149,46646,36.98
20,1407,SHOPERSTOP,EQ,47587,24862,52.25
